countryCode,year,gdp
ABW,1994,1330167597.76536
ABW,1995,1320670391.06145
ABW,1996,1379888268.15642
ABW,1997,1531843575.41899
ABW,1998,1665363128.49162
ABW,1999,1722798882.68156
ABW,2000,1873452513.96648
ABW,2001,1920262569.8324
ABW,2002,1941094972.06704
ABW,2003,2021301675.97765
ABW,2004,2228279329.60894
ABW,2005,2331005586.59218
ABW,2006,2421474860.3352
ABW,2007,2623726256.98324
ABW,2008,2791960893.85475
ABW,2009,2498932960.89385
ABW,2010,2467703910.61453
ABW,2011,2584463687.15084
AND,1970,78617570.3229253
AND,1971,89406659.5140116
AND,1972,113414331.870944
AND,1973,150841699.110766
AND,1974,186557164.008677
AND,1975,220112850.775998
AND,1976,227284165.925171
AND,1977,253998069.145235
AND,1978,308020384.39595
AND,1979,411548246.761169
AND,1980,446377494.880496
AND,1981,388983013.897495
AND,1982,375914742.918141
AND,1983,327849949.00321
AND,1984,330073024.937292
AND,1985,346742901.743383
AND,1986,481996232.885864
AND,1987,611300198.45912
AND,1988,721426027.475386
AND,1989,795489397.964069
AND,1990,1028989439.40715
AND,1991,1106890942.98847
AND,1992,1209992604.28817
AND,1993,1007090896.43735
AND,1994,1017544619.09316
AND,1995,1178745261.82826
AND,1996,1224023469.69136
AND,1997,1180646037.01274
AND,1998,1211953953.56155
AND,1999,1239840265.63345
AND,2000,1133644294.5425
AND,2001,1264760246.44075
AND,2002,1456198796.29382
AND,2003,1917948475.27513
AND,2004,2322163502.26295
AND,2005,2539759285.92747
AND,2006,2823503852.62328
AND,2007,3245411583.7197
AND,2008,3712034266.50674
AFG,1960,537777811.911111
AFG,1961,548888894.577778
AFG,1962,546666678.044444
AFG,1963,751111190.755556
AFG,1964,800000045.511111
AFG,1965,1006666638.22222
AFG,1966,1399999965.86667
AFG,1967,1673333418.66667
AFG,1968,1373333367.46667
AFG,1969,1408888923.02222
AFG,1970,1748886596.26667
AFG,1971,1831108972.08889
AFG,1972,1595555475.91111
AFG,1973,1733333265.06667
AFG,1974,2155555498.66667
AFG,1975,2366666615.46667
AFG,1976,2555555566.93333
AFG,1977,2953333418.66667
AFG,1978,3300000108.08889
AFG,1979,3697940345.14177
AFG,1980,3641723447.18433
AFG,1981,3478787909.81818
AFG,2001,2461666314.78366
AFG,2002,4128818042.61749
AFG,2003,4583648921.74369
AFG,2004,5285461998.97866
AFG,2005,6275076015.72254
AFG,2006,7057597615.29559
AFG,2007,9843851008.65578
AFG,2008,10190534636.4958
AFG,2009,12486950468.7364
AFG,2010,15936784436.1811
AFG,2011,17870159081.5143
AFG,2012,20496777409.458
AGO,1985,6804278062.62664
AGO,1986,6355849179.35458
AGO,1987,7383121653.67413
AGO,1988,7975234067.37627
AGO,1989,9283054576.2006
AGO,1990,10260193360.6806
AGO,1991,12193746624.6789
AGO,1992,5779394291.7582
AGO,1993,5285600050.3455
AGO,1994,4059577145.36303
AGO,1995,5039534776.4902
AGO,1996,7526446605.51712
AGO,1997,7648377412.83277
AGO,1998,6445041824.66621
AGO,1999,6152922942.98032
AGO,2000,9129594818.60749
AGO,2001,8936079252.77131
AGO,2002,12497346042.8261
AGO,2003,14188949239.8095
AGO,2004,19640862549.6511
AGO,2005,28233699240.3249
AGO,2006,41789494461.5461
AGO,2007,60448890972.4218
AGO,2008,84178086998.6708
AGO,2009,75492417649.3276
AGO,2010,82470894868.3337
AGO,2011,104115863405.183
AGO,2012,114147030253.231
ALB,1984,1924242456.27134
ALB,1985,1965384580.6465
ALB,1986,2173750016
ALB,1987,2156624896
ALB,1988,2126000000
ALB,1989,2335124992
ALB,1990,2101624960
ALB,1991,1139166679.0665
ALB,1992,709452572.658102
ALB,1993,1228071037.41335
ALB,1994,1985673025.89461
ALB,1995,2424498952.88127
ALB,1996,3013217852.57366
ALB,1997,2196223713.8105
ALB,1998,2727745453.08283
ALB,1999,3434402453.41057
ALB,2000,3686649387.03405
ALB,2001,4091020249.36656
ALB,2002,4449373455.56632
ALB,2003,5652325081.59963
ALB,2004,7464446950.02559
ALB,2005,8376483740.48289
ALB,2006,9132562332.43024
ALB,2007,10704661570.5584
ALB,2008,12968652890.9091
ALB,2009,12118580597.0542
ALB,2010,11858166294.8409
ALB,2011,12959563902.4015
ALB,2012,12648095824.4086
ARB,1968,34290911919.2381
ARB,1969,38079564301.5145
ARB,1970,41570893872.3634
ARB,1971,48202915293.8918
ARB,1972,58066103432.7681
ARB,1973,73919633118.6943
ARB,1974,139500375919.911
ARB,1975,153858434291.174
ARB,1976,190472089481.695
ARB,1977,220221643943.517
ARB,1978,241372285714.069
ARB,1979,318904241331.638
ARB,1980,428925872477.036
ARB,1981,461079889126.49
ARB,1982,421840585406.58
ARB,1983,394628789330.046
ARB,1984,393716037754.62
ARB,1985,386202901909.457
ARB,1986,365682278205.487
ARB,1987,389032531640.408
ARB,1988,373743549633.722
ARB,1989,391734443870.187
ARB,1990,440698260258.101
ARB,1991,433476996282.91
ARB,1992,464072521779.663
ARB,1993,469805173123.377
ARB,1994,480349758849.15
ARB,1995,515604922239.81
ARB,1996,569468342373.765
ARB,1997,605214631589.468
ARB,1998,587516735057.942
ARB,1999,634222169376.861
